edad,ingreso_mensual,antiguedad_laboral_anios,score_crediticio,deuda_total,ratio_endeudamiento,numero_creditos_activos,retrasos_12m,limite_credito_solicitado,ahorros,aprobado
40,3562.03,34.74,452,2820.6,0.8,5,0,8468.07,7418.9,0
68,4481.91,30.12,833,3094.01,0.32,5,4,10890.02,7000.43,1
39,5119.67,9.87,760,7961.41,0.91,7,1,9710.51,8007.98,1
67,3638.84,10.53,467,9831.58,0.8,1,1,4503.21,1730.85,0
45,4833.01,20.94,766,5625.11,0.53,5,2,10139.28,6610.28,1
37,4032.12,29.72,745,8732.39,0.54,2,1,7815.24,14560.17,1
66,4040.06,10.67,334,0.0,0.8,5,3,9543.46,10249.54,0
42,4079.93,9.83,711,6453.14,0.67,5,1,7562.75,8170.85,1
58,5142.59,16.75,801,1790.26,0.51,7,3,10630.02,3454.42,1
36,3134.83,27.0,361,8578.88,0.5,6,4,8002.24,5505.98,0
69,3811.78,15.93,845,9612.04,0.47,7,0,10522.29,9066.44,1
57,4738.76,0.46,320,9187.96,0.49,5,4,7329.45,0.0,0
63,3045.61,24.03,738,8147.92,0.63,7,4,11369.45,10004.59,0
22,2720.03,31.08,340,9262.71,0.83,2,4,4230.8,5216.89,0
26,4654.76,24.22,540,11370.6,0.36,6,0,10191.0,3708.89,1
24,4144.19,1.17,354,3985.26,0.15,6,0,6039.82,12718.15,1
47,4010.42,9.49,502,10680.85,0.63,3,4,12984.71,7976.73,0
40,4270.98,18.33,681,4636.85,0.83,6,4,4325.11,3911.26,0
68,3268.06,17.37,465,1297.05,0.23,2,0,8318.97,3768.12,1
33,6764.26,2.77,321,7603.32,0.61,4,4,10130.27,7257.18,0
29,3257.35,9.96,829,8143.06,0.18,5,4,6510.43,2531.7,1
62,3751.23,14.18,720,6742.14,0.77,2,3,9076.7,8706.36,0
35,2863.65,17.63,423,3669.31,0.32,7,3,12323.88,14928.97,0
57,3768.75,34.42,620,7683.22,0.3,0,3,9670.17,7807.7,1
35,5516.56,25.1,782,5010.47,0.63,5,0,8245.0,6378.3,1
47,4160.03,18.48,809,13591.11,0.26,7,2,9449.92,2919.57,1
24,4678.31,0.33,591,6882.96,0.68,7,0,13151.96,5020.34,0
53,3707.94,1.13,462,7064.02,0.66,4,0,6877.73,6855.99,0
65,5774.72,27.1,560,4115.42,0.15,1,4,14732.25,7808.08,1
54,4290.49,19.82,785,7686.58,0.07,7,4,7638.56,16932.81,1
64,3019.54,23.63,582,11100.07,0.64,3,1,8609.51,7476.58,0
59,4835.98,4.5,813,3482.61,0.87,3,2,9781.1,6098.69,1
48,3810.35,34.16,351,4612.5,0.83,3,0,8884.77,8337.49,0
66,4689.25,17.99,570,0.0,0.58,7,0,7076.47,11904.85,1
44,4268.23,20.1,412,5509.94,0.76,0,2,12467.71,9469.54,0
28,4380.1,23.86,514,10885.83,0.83,1,3,6198.43,2017.84,0
48,4265.88,22.15,806,1915.34,0.3,5,1,8646.97,12862.69,1
51,3328.02,27.54,593,4460.31,0.45,4,2,8443.86,10693.14,1
29,2790.97,7.35,313,3303.17,0.11,7,3,8590.96,4590.48,0
28,5021.02,2.17,749,4796.97,0.64,0,0,8327.36,6122.71,1
53,4020.79,14.79,640,3194.72,0.52,1,2,12377.63,5299.83,1
42,4399.74,27.3,781,4519.0,0.81,1,0,7623.62,9719.36,1
44,3725.15,26.41,682,2088.24,0.84,5,1,8300.7,10555.82,1
59,2321.71,13.62,649,6317.85,0.23,5,3,8769.9,8250.8,0
54,2993.28,26.14,509,8739.01,0.44,2,1,8737.16,9677.13,0
64,5398.17,27.14,410,8084.46,0.71,5,1,6068.67,4685.67,0
29,3435.53,27.83,553,0.0,0.81,7,4,7590.78,7425.76,0
58,3797.75,33.64,310,9854.74,0.83,7,2,8653.74,11459.09,0
47,2821.47,16.17,532,7930.16,0.55,2,3,10486.03,5695.17,0
22,3666.91,25.55,753,9269.55,0.36,5,1,14037.25,6.36,1
24,3806.27,32.04,522,2833.92,0.11,3,1,6825.49,7035.88,1
38,3941.88,10.18,733,3738.61,0.47,2,4,9896.47,4891.05,0
52,4074.72,34.46,328,7800.18,0.27,5,2,10443.68,7971.03,0
28,3572.46,11.83,485,11222.14,0.38,2,2,11637.99,3969.39,0
47,3623.61,23.28,538,2612.53,0.78,1,4,10440.18,8175.56,0
69,4127.88,4.83,456,6531.01,0.71,4,1,9936.85,6384.16,0
27,4430.51,6.66,667,7042.09,0.52,1,2,8497.12,12757.76,1
28,4011.92,3.2,770,4520.62,0.49,3,3,11514.76,7112.18,1
68,5707.91,22.34,705,6755.21,0.89,4,4,6755.66,6392.79,0
32,4324.23,0.92,505,4021.44,0.57,0,3,7503.08,9873.93,0
63,4284.19,16.91,619,9733.6,0.63,3,4,4774.28,5491.37,0
38,3548.54,26.03,385,486.66,0.35,1,3,7042.53,9203.27,0
58,5063.02,9.5,544,6621.74,0.36,3,0,10133.61,0.0,1
23,3217.2,6.76,658,4005.55,0.88,1,4,7641.34,7687.36,0
52,2681.87,33.7,373,5432.7,0.92,1,3,8162.46,4089.26,0
63,3260.18,7.11,845,2740.5,0.57,4,3,7585.78,2489.19,1
37,4694.78,20.5,569,0.0,0.27,7,4,9278.69,12671.62,1
52,3107.41,16.23,639,10473.75,0.51,4,4,8888.79,8790.11,0
31,5301.65,31.72,680,7954.55,0.65,5,1,7354.33,2747.45,1
28,4116.6,22.08,337,6984.5,0.4,2,4,4553.22,3598.33,0
21,2772.32,16.88,475,5554.82,0.35,7,2,9373.91,17210.38,0
45,3930.48,8.89,412,6652.59,0.6,0,0,10345.22,10397.99,0
46,5741.57,29.32,681,4673.05,0.88,0,4,8682.06,11814.41,0
24,3362.31,10.97,477,6049.18,0.63,5,2,4427.05,8836.96,0
32,2957.4,28.39,634,10123.65,0.5,2,4,13619.37,1506.79,0
50,4597.19,24.45,841,3696.34,0.23,6,4,12283.27,5066.79,1
38,5311.56,19.37,417,2939.84,0.88,4,2,8769.04,9275.28,0
32,5050.5,34.87,412,11650.5,0.45,7,3,9350.35,8754.04,0
21,3840.07,22.57,847,4145.04,0.68,0,2,8602.29,7426.59,1
22,4304.52,20.94,465,6411.04,0.59,1,2,9158.29,9414.87,0
52,4428.15,24.72,500,5157.52,0.33,5,4,8670.34,14795.08,0
26,5192.24,5.86,326,7597.93,0.51,4,3,11247.92,4890.31,0
62,6069.38,15.37,684,7757.45,0.56,6,3,8022.41,6543.13,1
48,4038.59,0.01,469,6092.23,0.63,6,2,10072.7,375.67,0
33,5304.91,4.77,365,2618.12,0.42,7,1,6017.95,5792.67,0
52,3825.99,1.22,768,2699.23,0.75,6,3,9217.27,11877.45,0
28,4665.66,20.08,840,5942.19,0.38,1,2,9753.32,11824.06,1
36,3295.68,11.4,464,11510.01,0.64,7,1,6684.59,427.91,0
45,3447.93,6.06,320,27.79,0.3,1,4,9446.41,6326.69,0
52,4509.23,13.99,708,5365.58,0.26,7,0,7598.56,2099.5,1
27,3328.46,33.25,833,7176.37,0.39,2,1,9195.88,6745.05,1
38,4933.87,1.96,846,3876.44,0.56,3,0,10016.46,6898.28,1
25,3639.97,3.91,458,6425.07,0.49,1,3,8182.26,3350.87,0
27,4205.26,30.68,370,5354.08,0.65,0,3,9809.18,10545.61,0
31,4060.35,7.62,461,8212.77,0.36,2,0,4597.3,6597.64,1
36,3835.47,23.32,442,10954.72,0.85,2,1,8278.6,11343.47,0
65,4253.39,3.08,508,4677.11,0.55,7,3,6989.55,14436.38,0
40,5106.84,1.3,506,6626.22,0.52,7,0,4354.51,1141.38,0
26,6930.23,21.6,506,7095.99,0.72,6,2,7826.96,10790.49,1
65,3067.37,25.97,309,6179.82,0.18,4,3,8268.11,5956.01,0
48,4405.66,7.07,645,5696.42,0.48,5,3,9155.47,9461.08,0
26,3977.57,16.21,318,0.0,0.54,1,1,12569.52,3188.83,0
25,3313.61,5.59,625,5960.4,0.68,1,0,8423.83,11818.63,0
25,4393.26,28.99,805,2262.15,0.55,3,2,6470.18,2270.25,1
65,3344.75,4.72,636,4261.53,0.76,0,2,5683.97,3915.66,0
48,4065.23,19.7,842,7010.4,0.24,4,2,8652.43,8614.97,1
54,5251.33,33.09,315,7433.63,0.73,7,4,7228.96,9773.09,0
68,2316.73,7.4,544,4192.11,0.07,5,3,9217.1,13688.7,0
40,4358.46,25.52,745,4138.99,0.47,7,4,10704.11,14437.08,1
65,4537.64,17.28,803,4711.91,0.52,4,4,7514.67,10677.83,1
40,3273.96,30.13,477,2264.76,0.64,1,3,12249.98,8240.08,0
55,4607.08,30.25,417,10523.4,0.51,5,2,7827.14,5476.61,0
61,4451.99,17.48,368,11128.64,0.59,3,0,9664.5,11196.57,0
24,3821.54,16.46,520,4996.89,0.72,5,4,10094.87,0.0,0
56,5226.42,26.92,671,10705.0,0.34,5,3,10655.27,743.03,1
60,2958.98,24.96,673,8053.46,0.52,2,4,13825.45,8741.49,0
68,4714.39,11.55,474,2173.84,0.54,5,3,8325.47,9261.57,0
54,3925.38,33.04,461,8503.79,0.17,2,0,11985.12,11188.41,1
44,3184.84,17.63,425,7708.63,0.07,7,1,7218.19,2117.38,1
28,3975.77,8.63,666,6076.91,0.63,3,0,11187.69,13296.83,1
58,3821.22,13.84,503,951.62,0.61,3,4,11823.74,5420.77,0
43,4872.49,14.04,631,3677.89,0.49,3,0,10076.76,7663.95,1
60,2789.85,17.48,367,0.0,0.22,3,2,7692.39,9221.32,0
23,3960.35,12.08,832,5473.3,0.77,2,3,7134.4,9040.53,0
37,3725.4,16.05,666,4647.58,0.86,6,2,13487.19,4455.36,0
60,5551.0,34.07,749,2021.68,0.95,2,4,10775.05,9499.12,1
50,3129.0,34.75,334,1589.67,0.54,0,1,7591.45,2140.0,0
56,5087.86,8.97,487,9793.53,0.36,2,2,9479.1,8321.51,0
49,2553.96,10.81,766,741.29,0.13,0,4,9201.66,11502.87,1
60,4443.73,13.23,617,7881.88,0.41,2,3,9448.81,12133.01,1
61,4011.04,8.09,617,5891.21,0.22,7,0,9901.83,8956.88,1
58,4472.85,7.77,567,9484.88,0.37,2,3,7388.71,1067.69,0
53,3499.53,16.98,329,398.71,0.58,6,1,12416.23,16902.13,0
34,2375.65,14.59,584,5893.9,0.34,4,3,9383.49,10933.74,0
24,2740.02,2.72,661,9509.02,0.85,0,4,9192.62,12180.86,0
59,5310.94,18.23,597,5030.39,0.51,3,0,6428.55,2446.52,1
38,4320.75,16.58,678,1066.03,0.14,6,3,8285.37,8835.86,0
33,3350.3,33.32,553,0.0,0.43,3,0,7806.19,14415.84,1
21,4937.13,29.81,319,3323.92,0.46,6,0,8974.13,5767.45,1
27,3455.97,22.47,318,8774.26,0.64,2,2,7978.76,15095.38,0
22,3460.85,18.33,815,10411.78,0.94,3,1,9878.51,5045.19,0
40,3033.53,3.95,380,5745.46,0.68,2,3,8988.1,13087.47,0
35,5184.24,22.55,478,8378.25,0.59,6,1,8250.06,11517.13,1
45,5890.13,32.66,434,8745.02,0.51,3,4,10450.62,12329.63,0
49,3255.69,33.81,517,7486.07,0.19,7,3,10512.17,9652.36,1
35,4382.87,32.52,824,2898.17,0.3,2,4,15485.14,9633.31,1
47,5001.75,25.84,660,7873.29,0.63,0,1,7272.24,6691.25,1
50,6025.01,12.06,809,2365.87,0.33,4,4,11066.05,667.01,1
53,1962.3,6.35,808,5926.17,0.39,5,1,9811.49,8357.05,1
50,4246.79,7.79,667,8102.33,0.47,2,4,10282.78,8904.54,0
22,4699.91,13.8,771,9010.69,0.92,4,1,4253.86,13010.44,1
32,2786.79,4.07,797,5203.17,0.24,0,3,4007.35,3616.81,1
59,4484.99,10.69,317,9188.29,0.57,3,2,8601.24,4302.28,0
51,4294.91,34.03,731,10439.6,0.39,3,1,13325.77,7480.47,1
35,4767.86,26.12,817,8682.5,0.96,0,0,10560.49,6993.36,1
38,3592.12,24.62,641,5464.41,0.57,4,2,8192.43,1896.08,0
66,4491.94,5.53,413,6608.2,0.21,4,3,9164.62,9784.74,0
56,3570.92,17.73,447,5694.74,0.25,5,4,10249.97,15850.3,0
39,4660.73,17.2,566,5800.07,0.13,1,3,5959.6,9917.71,1
35,4257.53,32.4,403,7944.76,0.17,5,0,10950.81,8376.22,1
27,3775.71,23.45,452,9114.27,0.81,7,4,6535.84,12099.95,0
60,2840.67,10.56,317,5684.68,0.33,2,1,7847.17,13007.74,0
51,5597.67,9.07,455,8013.37,0.52,5,0,9301.81,13199.1,1
41,5112.48,3.75,815,6453.33,0.32,2,1,7717.17,12202.95,1
54,4906.14,17.46,606,6150.75,0.86,4,3,14016.62,5395.32,1
48,3516.21,21.96,479,2553.44,0.52,1,4,9636.28,2584.67,0
47,3798.82,13.97,803,6864.05,0.23,5,1,7759.99,4889.67,1
53,5617.31,32.85,839,5293.9,0.78,6,2,10320.74,8301.64,1
58,4784.26,26.33,724,6574.54,0.78,7,3,10867.43,9578.47,1
46,3347.85,19.24,316,8853.44,0.81,6,3,6988.95,6681.58,0
41,4156.47,13.86,314,8042.63,0.49,5,3,10890.46,9228.58,0
33,4242.36,22.99,589,7924.17,0.21,0,3,9414.26,3139.42,1
35,3935.63,24.19,560,4049.16,0.87,0,0,5626.5,3673.29,0
68,3266.6,25.74,821,557.5,0.9,5,0,7782.85,14657.36,1
30,5245.65,10.99,779,4404.23,0.37,1,4,10593.24,0.0,1
25,4647.29,14.11,327,5581.51,0.85,2,2,6216.48,6676.11,0
51,3940.02,8.24,692,6246.93,0.6,3,2,9165.31,5435.18,0
36,2702.33,4.82,849,9920.28,0.52,2,4,10691.45,4096.95,0
25,3593.55,10.82,365,6582.76,0.44,3,2,9601.94,9964.01,0
47,4115.5,9.1,719,10159.93,0.31,6,4,3205.38,8632.16,1
57,4901.39,9.93,482,4352.55,0.33,1,3,11993.98,12179.63,0
22,3788.28,16.77,456,2199.34,0.66,3,2,8067.0,6592.31,0
44,5119.43,13.43,358,8369.43,0.83,6,0,10870.55,10083.49,0
28,4248.99,25.64,836,2068.27,0.64,4,1,8952.68,839.46,1
49,3453.45,9.02,538,660.94,0.55,6,2,6208.61,10877.33,0
60,1610.75,25.03,739,3860.26,0.83,1,2,8276.95,12344.07,0
60,3067.93,31.15,373,6688.02,0.14,2,4,4814.62,10877.29,0
59,2784.04,17.49,453,9099.8,0.63,2,4,8045.26,6328.76,0
35,3990.01,28.22,352,5653.92,0.72,0,0,12480.33,9854.24,0
52,4426.48,2.71,807,8486.88,0.4,7,4,7593.7,5250.95,1
52,5379.07,9.16,653,5555.88,0.89,2,4,11831.16,4269.05,0
65,4117.37,3.04,433,472.27,0.54,4,2,6829.85,7839.94,0
55,3086.91,17.27,404,2138.25,0.33,4,3,8607.88,10552.35,0
58,6247.31,13.27,775,336.95,0.23,0,1,10734.98,14895.87,1
25,4411.02,16.89,399,4973.23,0.63,6,4,9610.57,6013.71,0
35,3894.15,8.08,763,0.0,0.21,0,3,12257.36,7552.89,1
39,3895.75,1.22,767,1082.31,0.35,0,2,7190.12,8498.91,1
52,2915.59,26.58,668,2961.21,0.35,5,1,13484.71,3858.04,1
63,4705.36,32.83,703,8418.61,0.83,4,2,6197.18,4197.15,1
37,4470.03,6.69,589,7269.57,0.4,1,0,8078.45,14960.67,1
45,5564.21,25.85,434,4372.51,0.43,6,1,8083.16,13528.01,1
57,5126.99,12.29,471,6198.87,0.74,6,4,7774.61,12633.84,0
30,4917.46,25.95,366,4782.2,0.47,7,2,6954.24,5371.26,0
