Consumo_kWh,CostoEnergia_USD,TempPromedio_C,HorasPico,PotenciaMax_kW,EmisionesCO2_tn,SectorIndustrial,MantenimientoPrev,EdadEquipo_anios,AhorroPotencial_USD
275.35,202.03,44.09,3.59,94.42,2.51,0,0,11.73,406.31
609.25,447.77,30.99,7.76,102.5,3.89,0,0,22.78,772.68
304.23,114.13,15.81,6.37,77.03,4.04,0,0,11.45,510.32
403.56,489.37,35.07,1.04,83.85,4.14,0,1,7.35,548.25
528.32,589.37,20.4,5.83,81.09,2.18,0,0,12.91,960.86
506.88,121.12,17.88,4.38,126.93,5.23,1,1,19.8,339.49
610.59,318.11,26.18,4.26,91.54,4.93,0,0,11.34,597.69
579.48,381.09,28.85,8.19,101.72,2.16,1,1,22.38,690.54
528.33,502.71,11.38,5.51,63.69,1.03,0,0,22.67,749.43
307.27,158.04,30.51,2.53,58.08,2.65,1,1,9.28,310.13
495.38,267.27,33.56,2.98,58.4,4.4,0,1,24.99,526.25
437.71,514.51,41.83,3.81,95.6,3.37,1,1,18.99,718.63
240.85,349.46,29.02,4.05,70.0,3.26,1,1,23.65,424.32
570.08,165.01,13.51,4.6,68.14,4.61,0,0,24.86,501.08
496.87,532.1,30.2,8.91,104.75,1.34,1,0,4.46,748.82
405.46,566.78,40.06,4.01,114.44,3.51,0,1,6.5,767.79
372.03,464.63,33.53,6.16,73.47,5.24,0,0,16.13,646.6
256.2,586.31,39.64,1.03,0.74,3.26,1,1,21.22,696.19
423.94,561.79,14.74,2.61,55.77,1.67,0,1,22.91,638.19
456.21,143.13,27.66,7.91,46.93,4.8,1,0,16.88,385.23
300.26,292.81,29.16,4.93,129.34,4.41,1,0,11.42,253.66
539.46,390.38,39.31,3.87,82.33,3.95,1,0,19.0,663.5
268.34,460.84,21.39,3.65,62.15,1.15,1,0,24.38,736.32
145.23,358.23,35.12,5.19,132.6,4.9,1,0,4.17,496.32
524.77,417.58,30.83,1.03,56.42,0.69,0,0,8.28,597.81
351.6,140.74,20.8,3.82,93.96,4.52,0,0,21.14,335.12
384.88,291.27,30.44,9.56,69.13,3.47,0,0,13.45,609.77
299.5,83.57,39.03,2.26,52.93,3.83,0,0,17.8,165.82
207.28,418.96,26.96,1.09,64.8,5.05,0,1,4.16,522.78
550.63,165.53,10.47,1.02,119.0,3.73,1,1,3.68,381.08
317.34,290.06,17.86,7.42,85.03,4.41,1,0,16.93,515.19
599.31,339.3,24.4,6.11,110.87,5.07,0,0,22.19,661.94
496.88,426.52,33.88,9.95,74.68,1.48,0,1,18.02,736.69
362.23,476.88,42.26,3.99,71.74,5.78,1,0,12.41,729.19
269.69,451.85,22.63,2.38,79.51,3.33,0,1,7.47,529.79
312.1,375.27,18.71,5.89,115.98,2.96,0,1,1.7,488.51
254.5,354.96,13.53,2.68,74.81,3.96,1,0,10.12,376.24
650.45,525.59,35.69,7.29,66.51,5.85,1,1,3.95,734.61
419.73,530.73,34.85,2.56,55.51,0.96,0,1,12.48,694.46
538.02,112.18,32.29,4.15,76.09,4.31,1,0,15.06,424.94
247.92,220.48,38.34,5.84,54.0,3.74,0,0,24.49,309.51
421.72,559.26,25.68,7.63,142.85,3.4,1,0,5.66,665.55
541.34,388.18,14.12,8.11,96.68,3.67,1,1,15.6,735.06
359.8,150.02,21.6,4.15,52.5,1.02,1,0,8.18,404.63
523.73,116.99,16.06,5.57,103.71,2.41,1,1,3.43,441.08
269.85,129.1,42.85,6.12,73.35,0.57,1,0,22.87,254.72
236.38,480.32,41.55,4.03,90.65,1.88,0,0,22.59,596.17
445.53,195.43,31.93,7.53,60.45,2.63,1,0,15.02,357.71
354.5,206.34,42.87,1.91,84.59,2.97,0,1,5.48,425.55
477.05,147.91,43.27,5.6,97.39,1.83,1,1,23.97,478.01
162.65,391.82,41.82,4.93,82.53,5.49,1,1,1.55,548.54
485.47,347.22,20.39,3.05,112.49,0.45,1,1,24.5,578.88
711.8,226.4,11.07,3.15,115.76,2.65,0,1,2.77,661.91
397.04,422.22,28.1,4.3,128.12,0.46,1,1,10.06,335.45
404.1,484.45,32.54,8.72,55.5,3.52,1,0,11.55,567.11
421.55,589.39,26.37,2.14,95.9,0.69,1,0,6.15,835.02
176.56,328.93,44.24,6.89,128.96,5.44,1,0,8.27,366.2
451.14,294.75,34.34,4.93,76.63,5.96,0,1,22.87,409.22
207.35,231.93,30.66,6.87,119.46,5.82,1,1,2.14,303.71
348.68,487.99,37.16,3.5,94.2,0.6,0,1,14.66,576.31
549.14,585.55,28.58,8.48,67.8,1.92,1,1,15.49,901.37
311.77,392.22,40.51,1.93,76.85,4.57,1,1,10.91,355.67
460.15,414.0,26.31,8.13,95.74,3.44,1,0,24.65,801.81
521.53,438.35,13.65,2.18,76.0,3.98,0,0,4.74,485.72
433.45,300.11,16.93,2.74,117.88,5.59,1,1,19.96,638.51
235.49,194.58,25.64,2.07,107.47,2.88,0,0,9.24,312.61
360.1,213.18,25.41,8.47,80.35,1.17,1,1,21.98,325.16
635.13,400.94,42.44,7.7,56.37,2.99,1,0,23.91,707.82
156.99,411.58,25.1,1.54,92.33,4.84,1,0,10.35,559.38
366.91,320.19,12.88,9.17,136.66,0.44,1,1,10.13,525.7
333.75,102.54,26.76,9.62,117.21,5.6,0,1,4.78,228.37
414.49,536.16,34.95,9.54,115.21,3.54,1,1,5.25,815.94
489.79,207.04,18.01,2.61,109.61,3.87,1,0,5.09,526.94
593.04,382.14,40.51,6.89,134.26,2.71,0,0,14.75,660.59
367.57,464.11,10.26,2.26,96.54,1.13,1,0,22.42,572.69
497.48,175.86,34.66,4.27,138.15,4.97,1,0,3.23,629.1
459.97,326.11,18.74,9.77,95.5,4.15,0,0,23.16,761.39
456.92,80.7,35.52,6.81,82.61,0.68,1,0,13.33,394.97
332.33,104.67,31.23,7.58,128.49,2.1,1,0,13.22,259.49
280.32,210.25,41.57,9.78,92.13,0.3,1,1,19.02,252.37
267.99,422.54,13.08,2.55,98.94,5.15,0,1,2.15,695.83
309.23,541.07,27.12,6.19,97.43,4.1,1,0,13.63,507.14
438.6,300.73,31.27,1.6,107.35,4.57,0,1,19.82,525.41
491.31,93.02,40.27,5.09,92.39,2.77,0,1,8.39,342.47
438.82,232.21,10.54,8.88,61.44,4.39,0,0,6.8,528.1
334.13,577.64,37.81,1.18,108.43,5.81,1,0,3.33,760.98
616.72,137.83,26.68,5.67,97.47,5.88,1,1,17.83,438.63
582.26,472.97,41.37,8.58,82.07,4.01,0,1,14.73,712.78
357.52,468.61,13.42,3.8,69.87,2.14,1,1,22.56,709.2
301.19,386.76,18.0,9.3,107.26,0.87,1,1,23.05,451.0
415.63,564.06,27.22,6.82,66.93,5.41,1,0,15.1,704.44
552.08,413.92,34.05,1.5,75.28,0.92,1,0,18.84,743.47
439.93,582.58,14.51,6.89,41.27,1.08,0,1,1.68,875.04
466.79,509.59,31.25,4.48,82.58,2.22,0,1,1.2,601.56
374.55,492.9,25.25,2.36,113.45,5.52,0,1,20.81,642.24
454.75,574.55,22.13,9.34,90.26,1.94,0,1,10.88,738.12
585.35,400.86,35.01,9.8,63.72,1.75,1,1,9.14,592.89
371.24,247.62,29.8,7.95,131.65,1.07,1,1,6.4,444.63
417.2,133.9,13.15,8.62,103.31,0.96,1,0,21.61,442.14
430.46,441.02,23.57,9.92,71.56,1.44,0,1,7.9,603.91
434.05,352.11,11.28,1.26,98.02,0.42,1,1,10.52,600.64
230.57,280.43,23.24,2.02,83.57,2.09,0,1,14.45,340.61
174.78,573.87,42.34,9.39,43.76,2.83,0,0,1.08,470.21
277.64,554.46,32.02,6.29,103.02,0.75,0,1,20.94,670.98
420.15,276.53,34.95,4.8,74.81,5.75,0,0,20.38,525.26
466.46,571.65,20.27,2.39,132.7,4.16,0,0,5.35,624.16
336.32,304.65,33.91,1.32,121.24,4.7,0,0,8.03,491.26
565.27,187.19,43.58,7.88,65.27,1.24,1,0,11.47,578.3
382.82,402.74,35.86,1.24,53.61,1.95,0,0,13.89,641.05
402.44,129.01,39.99,4.93,79.75,3.61,0,0,6.44,512.06
376.72,159.39,15.13,1.49,110.02,3.14,0,1,11.39,499.0
416.08,503.42,27.36,7.7,106.53,4.65,0,0,2.45,567.31
484.54,505.94,17.03,5.78,131.54,5.41,1,1,3.05,834.04
479.88,205.12,30.55,3.27,93.66,1.85,1,0,10.24,434.14
292.19,468.37,31.99,3.2,53.99,1.74,1,1,6.68,636.44
582.84,586.26,12.13,6.27,81.56,2.76,1,0,8.57,825.06
268.6,578.08,44.16,2.1,58.38,4.5,1,1,17.62,630.23
409.51,311.15,36.37,6.72,115.82,2.21,0,0,7.2,628.7
367.07,529.23,32.8,9.45,103.02,5.73,1,0,3.47,678.15
274.12,369.69,21.43,5.16,75.3,0.89,1,0,7.12,435.8
390.99,373.69,22.83,7.33,87.45,1.77,0,0,5.23,613.82
311.1,204.42,12.33,3.5,124.07,1.66,0,1,23.34,326.59
408.75,279.79,14.36,5.74,123.96,4.07,0,0,3.93,439.49
448.37,191.73,23.07,5.72,84.94,3.16,0,1,8.3,615.53
576.63,466.07,36.97,4.5,79.33,5.38,1,1,22.6,757.75
436.89,413.11,35.72,2.76,114.84,2.44,0,0,17.95,628.86
326.65,498.33,16.68,6.74,73.86,2.02,0,1,12.67,473.46
353.01,402.34,19.92,9.58,67.69,1.19,1,1,11.25,480.63
416.8,224.14,12.1,5.06,95.98,2.26,1,0,16.41,426.06
411.22,575.31,35.18,2.03,86.86,3.73,0,0,1.75,956.21
575.15,418.37,42.52,4.19,78.53,1.34,0,0,1.27,737.37
567.44,327.7,25.13,7.16,132.81,3.3,1,0,7.88,498.44
356.93,484.34,19.29,5.44,86.9,4.53,1,0,20.98,779.07
334.16,212.41,18.12,3.76,83.89,1.9,0,1,14.31,470.0
93.15,501.63,37.4,8.7,81.67,1.03,0,0,14.74,509.38
334.13,255.91,32.83,6.55,93.31,5.25,1,0,15.37,258.52
282.63,118.82,44.52,8.96,83.13,5.91,1,0,9.36,359.99
357.42,487.1,43.3,9.76,90.81,5.52,0,0,2.27,437.14
446.99,179.3,12.56,6.47,48.28,1.71,1,1,5.5,335.71
421.26,415.04,16.32,2.75,61.04,5.94,0,0,18.58,616.63
396.4,220.29,15.1,6.21,128.0,4.88,0,1,11.68,423.54
423.95,436.43,27.64,2.06,116.41,3.36,0,0,17.18,671.22
384.87,145.57,24.08,8.06,118.92,4.18,1,1,14.87,245.23
423.64,404.43,37.62,1.88,86.88,4.7,0,1,12.68,501.04
12.27,179.85,16.94,5.31,59.64,0.3,0,0,1.3,194.07
367.68,341.75,13.53,7.46,114.12,3.7,0,0,6.64,320.71
386.7,533.8,32.06,9.31,111.95,5.04,1,0,16.33,700.12
359.05,327.22,16.24,9.06,69.62,0.69,1,1,24.95,394.17
373.85,481.47,38.33,1.61,159.27,4.26,0,0,10.06,652.28
484.4,156.15,19.25,9.89,104.67,5.01,0,1,21.62,353.29
328.23,421.72,23.62,5.03,110.72,2.6,1,0,19.18,694.01
664.08,159.03,22.09,2.89,60.59,4.47,0,0,11.34,498.9
482.6,479.65,43.17,9.8,141.95,4.17,0,0,12.57,671.29
399.24,451.31,19.07,8.79,93.85,0.75,0,0,21.69,543.12
375.2,289.25,24.73,6.77,104.34,4.37,0,1,14.65,421.79
389.62,324.42,24.34,6.5,87.61,2.29,0,0,13.29,672.67
290.16,167.58,39.78,4.64,101.53,4.34,0,1,24.68,254.56
388.58,410.47,38.59,1.23,54.56,3.88,0,0,24.21,769.51
433.44,554.6,39.86,6.25,111.88,0.78,0,0,19.15,869.28
469.54,371.42,31.85,5.26,101.34,1.09,0,0,23.7,653.68
469.56,243.88,18.82,9.17,50.92,3.63,1,1,14.48,593.34
367.01,292.91,16.9,5.78,117.95,0.83,1,0,4.13,464.04
230.07,193.5,14.16,7.72,89.86,2.52,0,0,1.71,279.47
319.71,309.72,30.0,9.66,127.96,5.15,1,0,6.37,441.25
593.46,337.47,23.54,1.84,71.66,5.45,0,0,7.3,640.34
507.53,569.19,11.93,5.64,46.48,0.68,0,1,19.8,800.66
444.35,303.55,34.92,9.04,96.7,5.86,1,1,13.3,545.33
308.64,528.37,26.2,9.0,101.52,3.15,0,0,24.39,821.77
400.44,166.75,12.06,3.83,138.83,3.54,0,0,1.34,355.47
249.32,363.49,25.49,6.61,74.35,3.36,0,0,5.66,435.6
333.77,387.2,43.15,6.87,101.53,4.76,1,0,7.29,582.81
370.58,388.73,16.23,8.17,116.59,1.68,1,0,14.36,536.99
356.6,341.12,32.36,7.56,96.01,5.21,0,1,18.06,395.24
514.79,478.92,24.96,7.37,95.59,5.44,0,0,24.81,701.4
229.75,169.89,21.52,7.36,56.34,0.84,0,1,16.08,249.54
296.15,115.41,15.27,4.42,114.03,4.05,0,1,15.7,231.81
235.04,154.21,23.27,6.12,89.41,3.57,0,0,9.06,361.66
251.52,372.88,10.93,8.1,147.63,2.05,1,0,22.69,475.71
414.89,209.86,23.03,3.26,121.01,5.25,1,1,14.98,482.61
207.95,464.04,29.79,4.13,77.75,5.68,0,1,10.37,395.45
490.46,112.69,21.66,6.0,74.97,5.09,0,0,5.92,292.12
370.38,552.68,15.35,3.18,57.97,4.65,0,0,13.87,821.82
408.25,574.89,25.11,5.13,89.53,2.21,0,1,18.49,816.43
438.71,488.54,22.51,5.63,115.93,2.08,0,0,5.28,664.07
347.9,536.54,44.42,2.51,102.4,1.36,1,0,24.77,853.87
523.9,276.74,29.73,3.16,121.65,5.61,0,1,18.57,589.25
376.68,162.99,26.01,2.47,75.12,4.74,1,1,10.75,297.0
471.29,183.97,43.6,7.57,118.44,5.65,1,1,10.44,546.68
376.11,340.66,37.44,1.81,88.57,0.4,0,0,13.36,410.59
434.9,423.92,22.34,3.21,121.82,4.37,1,0,5.58,509.77
433.56,375.77,26.31,7.49,52.32,5.06,0,0,21.39,617.33
430.0,134.57,28.06,9.26,72.74,2.9,1,0,17.55,423.09
283.08,458.17,17.24,3.27,72.78,1.27,1,0,17.44,395.43
452.31,490.28,14.64,9.06,109.84,5.32,0,0,16.89,619.87
361.73,95.35,15.41,4.05,50.29,3.42,0,1,17.51,176.3
475.66,318.63,22.74,8.64,87.13,1.08,0,0,19.59,536.23
141.7,307.65,13.24,5.61,118.86,3.08,0,0,19.49,267.36
224.19,114.95,16.9,6.16,108.13,0.36,1,0,17.31,329.08
443.61,171.92,13.59,5.22,90.87,4.21,0,0,4.3,523.22
623.55,503.8,10.55,7.81,127.83,3.54,0,1,15.28,839.88
500.21,384.01,23.77,4.5,100.77,3.77,1,0,12.46,671.26
318.11,193.83,25.59,6.82,96.88,0.94,0,1,5.66,314.44
196.95,318.37,36.12,6.39,83.16,5.28,0,0,10.7,521.05
489.12,524.4,29.85,3.26,135.27,3.97,0,0,11.21,615.86
390.33,133.19,40.03,8.05,130.29,0.82,0,0,9.98,371.62
470.88,576.85,34.01,5.39,99.18,2.25,0,1,9.75,943.06
413.84,153.54,38.62,5.08,99.39,3.93,1,0,4.43,342.66
403.56,231.19,29.8,6.21,95.22,5.98,1,0,5.17,380.61
755.04,174.37,28.53,8.74,91.57,1.77,0,0,5.31,621.96
399.26,324.17,43.85,3.67,86.55,1.4,0,1,7.03,491.43
380.89,241.49,24.46,3.96,103.15,4.87,1,0,22.72,506.92
385.43,594.02,28.37,4.35,71.71,2.57,1,1,20.63,639.89
329.98,88.01,34.47,2.7,70.48,0.83,0,1,24.64,227.3
518.82,247.2,27.01,7.98,68.95,5.9,0,1,21.62,510.82
357.55,389.24,24.64,5.25,112.37,4.88,0,1,12.78,422.69
476.31,256.81,33.37,1.86,41.26,0.66,0,1,9.96,502.34
434.15,317.0,11.68,7.26,133.75,2.21,0,0,2.61,573.75
546.28,301.11,40.06,2.15,75.04,5.7,1,1,19.25,436.24
450.42,124.84,44.21,7.09,59.65,1.72,0,0,9.9,365.08
254.39,417.51,31.47,4.47,88.87,2.66,1,1,20.95,489.22
240.82,513.69,26.4,6.53,63.45,1.87,1,1,21.12,548.95
569.0,354.47,25.86,3.1,74.31,1.15,0,0,15.25,572.14
326.95,157.78,29.69,6.55,78.24,0.36,1,0,4.94,416.42
241.53,330.26,35.54,1.84,87.76,0.84,0,0,24.39,400.94
319.65,87.35,20.47,9.66,38.06,2.32,0,0,2.22,234.23
551.76,551.89,21.09,8.75,100.43,5.4,0,1,8.32,802.67
229.57,205.11,14.82,3.38,74.67,1.82,1,0,18.17,415.98
296.02,549.23,35.46,3.68,41.38,2.22,0,0,5.61,624.32
319.98,383.74,23.04,9.32,92.43,4.76,0,1,9.12,543.98
249.86,591.33,39.27,3.04,136.09,5.59,1,1,10.37,577.42
257.88,521.65,26.82,5.66,46.38,1.21,0,1,5.86,491.63
217.83,85.77,13.99,6.31,84.91,0.34,0,1,24.73,116.88
344.66,87.86,45.0,3.27,92.43,3.56,0,1,16.19,298.93
357.41,466.59,38.61,6.22,123.24,1.49,1,0,7.08,778.35
318.1,348.73,19.44,7.05,63.13,5.92,1,0,21.43,436.71
201.56,472.79,12.83,8.85,115.15,5.63,1,1,8.93,542.0
550.4,386.64,11.13,6.35,71.47,0.38,1,0,1.05,722.29
240.51,200.79,37.55,9.1,110.25,2.6,0,1,12.09,346.56
433.36,489.04,13.74,6.07,116.91,5.09,0,1,16.55,772.21
271.03,96.14,18.99,6.75,79.86,1.09,0,0,4.42,133.41
480.2,499.39,13.44,9.62,58.91,4.64,1,1,20.5,597.17
514.7,425.84,43.65,8.36,97.68,3.42,1,0,7.2,550.72
294.69,430.1,21.61,9.8,93.19,1.59,1,1,11.33,557.67
169.15,102.81,18.26,6.03,60.48,3.7,0,0,23.37,173.69
483.49,189.08,35.1,3.23,99.08,2.04,0,0,13.01,331.93
625.1,334.25,32.75,8.9,88.24,0.83,1,0,2.03,724.19
449.88,309.87,22.0,7.09,88.64,2.97,1,1,22.62,698.93
419.27,93.76,29.59,9.58,92.37,1.52,0,0,17.73,462.92
498.37,254.63,31.94,3.94,89.4,2.78,1,1,22.54,497.73
491.81,583.08,24.49,7.67,76.06,3.0,0,0,11.23,872.63
300.52,239.41,38.1,4.8,105.11,1.05,0,0,22.1,408.66
320.9,409.05,36.24,2.6,63.81,5.14,0,0,4.7,549.63
473.33,434.48,39.91,2.91,138.71,0.63,1,1,19.94,794.0
382.72,404.31,13.3,3.27,21.47,1.42,1,1,21.5,664.81
557.99,230.64,30.42,5.56,110.14,5.45,1,0,18.56,680.46
315.48,377.28,35.52,7.96,111.71,0.37,1,1,20.14,539.23
490.07,446.13,10.6,9.42,82.31,1.2,0,1,14.84,707.71
441.12,279.33,31.26,1.94,60.16,2.94,0,1,10.54,310.9
384.83,225.76,22.6,8.34,91.74,3.87,1,1,16.86,244.4
541.11,223.0,40.94,3.8,65.96,2.14,1,0,1.55,383.95
481.61,557.41,39.02,4.57,81.97,3.67,1,0,16.9,650.78
279.4,415.13,18.81,6.02,67.77,1.21,1,1,7.82,449.6
476.83,471.27,37.8,7.61,114.55,3.94,0,1,20.17,671.95
565.0,375.27,14.77,2.61,88.19,2.24,0,1,6.21,513.46
384.35,407.84,37.36,3.91,118.94,3.89,0,0,10.75,617.43
370.16,223.79,34.01,5.01,88.77,3.78,1,0,5.41,558.58
319.64,544.27,38.91,6.13,45.78,4.62,1,1,13.46,580.2
398.37,340.62,28.3,8.4,94.2,2.99,0,0,15.01,600.91
482.34,498.78,37.02,5.53,124.83,2.64,1,1,18.23,581.61
301.88,349.37,35.58,2.8,86.83,0.67,0,1,4.72,516.14
238.44,140.49,12.02,3.8,59.26,0.69,0,0,19.36,267.87
354.91,138.15,28.02,6.81,81.56,1.42,1,0,10.46,289.66
234.43,321.34,29.63,3.43,61.81,2.39,1,0,17.17,279.42
462.79,303.54,41.6,2.97,113.62,0.49,0,0,5.22,485.55
348.8,554.91,29.25,3.62,61.39,5.89,0,1,7.98,582.3
189.35,148.5,41.51,4.84,65.12,5.3,0,0,4.72,224.94
358.17,437.01,18.38,3.74,88.34,5.91,1,0,8.83,465.42
376.89,557.43,25.13,7.64,121.51,4.22,0,1,23.71,574.9
453.9,293.76,28.43,8.26,66.01,3.57,1,1,6.39,531.42
382.56,540.19,22.23,1.38,84.4,3.41,1,0,5.25,707.48
624.25,155.04,21.9,5.14,78.55,3.3,0,1,4.33,506.29
337.76,134.78,15.64,3.45,80.84,2.82,1,1,18.22,263.1
392.51,201.35,16.03,4.51,35.43,2.74,0,0,15.7,361.33
387.65,351.02,39.77,2.68,55.59,5.26,1,1,19.17,479.58
366.08,416.14,35.84,1.6,69.55,2.83,0,1,12.44,458.62
417.09,481.05,25.42,6.74,97.24,3.02,1,0,17.57,829.79
464.95,478.61,37.19,9.66,75.68,5.55,1,1,21.85,657.38
560.81,138.18,15.24,7.61,51.02,5.27,0,0,17.23,333.78
211.69,534.48,17.33,9.81,81.32,4.87,1,1,15.44,507.56
338.76,138.41,30.61,9.69,97.84,3.28,0,1,7.0,291.03
346.27,546.86,13.65,4.18,129.06,3.37,1,0,1.57,513.93
512.54,577.97,33.45,7.64,98.21,0.82,0,0,23.82,673.15
357.2,383.73,21.22,8.33,65.3,3.55,0,1,5.42,436.5
172.58,440.83,41.32,5.23,90.09,3.42,0,1,23.81,421.18
410.53,272.26,32.0,3.89,82.72,2.38,1,0,3.92,356.79
395.96,366.34,25.46,9.4,54.07,5.03,1,0,22.28,450.87
421.57,512.68,28.96,1.43,90.89,3.01,1,0,23.39,906.13
275.18,162.94,17.98,4.57,125.19,2.19,1,0,18.58,490.36
606.28,340.91,11.2,9.8,122.54,5.12,0,0,9.7,832.26
361.14,292.79,11.95,2.19,21.92,3.39,1,1,19.64,543.73
377.4,530.52,24.03,1.42,85.65,3.28,1,0,20.27,727.21
292.0,148.12,39.67,4.07,79.08,3.29,0,1,22.43,138.64
288.28,543.71,34.19,1.71,83.17,1.33,0,1,1.87,470.53
253.27,210.14,32.52,6.29,92.3,5.54,0,1,19.65,318.01
352.8,394.96,43.35,6.55,56.78,3.58,0,0,21.56,588.99
285.09,277.55,41.29,8.34,83.0,2.82,0,0,18.73,337.3
646.78,565.03,25.01,9.96,83.4,4.13,1,1,19.28,733.07
173.38,182.71,36.01,1.27,134.8,2.57,0,0,1.38,279.95
264.6,341.32,27.65,6.36,57.84,3.26,1,0,24.31,444.25
351.83,198.71,34.35,8.46,91.91,4.47,0,1,11.31,411.03
480.82,496.64,25.6,7.14,44.58,5.39,0,1,17.76,821.95
350.35,220.95,30.24,2.38,123.16,1.61,0,0,9.52,345.34
481.12,575.81,15.7,6.53,80.09,5.09,1,0,10.29,852.34
281.58,560.69,36.04,2.68,95.1,3.31,0,1,14.68,646.16
407.11,327.1,11.69,9.27,81.86,4.74,0,1,3.31,445.41
609.28,86.72,12.15,9.74,55.23,2.52,1,1,2.99,423.37
283.87,582.02,29.26,6.9,95.71,1.73,1,1,9.2,474.68
450.35,436.7,32.55,5.95,97.52,4.78,0,1,9.57,640.19
424.83,335.83,20.16,2.22,66.17,4.51,1,1,14.85,500.76
129.82,394.12,41.43,8.03,92.87,2.77,1,0,13.57,560.8
329.32,137.71,27.51,8.31,86.31,0.5,1,0,10.29,288.47
535.74,161.92,14.49,4.2,129.45,2.13,1,1,15.86,535.32
416.21,412.23,41.35,6.8,112.76,2.91,1,0,19.26,588.43
254.53,105.46,30.0,2.98,110.14,0.94,1,1,4.58,124.85
482.89,445.2,34.08,9.32,95.79,3.09,0,1,3.47,629.45
342.51,558.29,22.6,1.78,92.1,2.22,0,0,1.9,737.22
443.21,448.66,39.96,7.38,76.35,1.08,1,1,1.52,750.63
445.23,371.53,31.77,7.7,66.14,1.81,0,0,23.96,592.76
265.76,492.99,31.48,7.36,114.75,2.02,0,0,9.14,677.34
494.78,469.2,21.84,7.87,61.75,1.96,1,1,14.89,539.5
279.1,387.14,42.4,9.64,87.4,3.79,1,0,23.39,531.38
243.31,182.45,43.91,4.78,58.71,1.74,0,1,19.42,350.73
