ConsumoProm_kWh,DemandaMax_kW,FactorCarga,HorasPico_Mes,TemperaturaMedia_C,UsoHVAC_%,UsoProceso_%,EmisionesCO2_tn,TipoCliente
166.76,116.07,0.85,180.6,38.94,70.6,75.2,4.75,Industrial
643.17,58.55,0.8,146.7,35.59,63.3,27.8,5.34,Residencial
487.1,66.16,0.74,43.8,29.77,56.9,27.5,2.33,Industrial
452.4,97.27,0.59,65.2,14.33,56.9,34.2,4.77,Industrial
194.37,58.34,0.23,144.7,34.36,68.8,21.4,6.02,Industrial
404.14,109.56,0.79,65.4,14.53,88.8,10.2,3.81,Comercial
426.08,79.14,0.41,36.5,21.17,29.5,65.0,4.85,Industrial
434.64,111.64,0.53,95.9,20.74,42.3,39.6,2.1,Comercial
500.86,43.76,0.91,80.0,22.73,51.8,16.1,1.42,Comercial
301.9,120.07,0.63,156.1,37.43,36.9,14.1,6.6,Industrial
352.05,87.3,0.56,50.0,34.35,34.1,60.9,3.36,Comercial
313.61,79.03,0.65,106.1,23.93,81.9,41.1,1.39,Industrial
387.81,106.04,0.54,198.4,28.61,87.0,39.9,2.53,Residencial
164.47,54.29,0.87,189.3,13.42,37.8,53.3,5.88,Residencial
553.9,59.19,0.88,147.2,39.7,67.4,58.9,4.12,Industrial
485.86,99.14,0.91,47.8,39.62,78.5,21.1,1.08,Industrial
525.76,87.95,0.82,136.5,24.97,61.6,45.5,5.36,Comercial
397.27,90.3,0.48,24.4,16.16,42.9,15.6,2.82,Comercial
459.68,70.68,0.56,85.8,38.49,89.0,23.1,6.57,Comercial
350.04,42.33,0.61,142.7,19.86,53.4,26.4,6.21,Comercial
639.92,83.09,0.51,56.5,32.9,26.9,62.7,5.74,Industrial
244.44,45.09,0.3,96.1,18.03,25.0,49.1,2.18,Residencial
228.3,66.21,0.3,180.9,11.34,45.0,26.6,1.41,Industrial
401.08,96.65,0.83,190.6,17.02,16.6,48.7,3.54,Industrial
443.02,75.21,0.45,90.8,21.57,81.4,25.5,0.9,Industrial
748.48,92.84,0.8,84.5,19.48,36.2,14.6,6.11,Comercial
566.55,119.31,0.94,146.4,36.85,50.6,36.7,1.27,Industrial
495.39,69.8,0.69,52.1,22.56,20.1,46.5,5.74,Industrial
296.54,107.17,0.86,77.5,32.54,31.2,46.7,2.46,Industrial
282.84,59.39,0.42,193.1,34.3,14.6,71.4,6.11,Industrial
281.48,81.13,0.88,21.3,31.47,19.5,35.4,2.58,Industrial
528.41,64.92,0.39,51.6,31.83,82.2,20.2,2.46,Residencial
550.25,82.19,0.78,76.9,24.33,41.8,31.9,4.73,Comercial
542.73,63.42,0.52,129.2,17.23,28.5,23.8,2.54,Industrial
286.98,96.21,0.76,73.6,39.2,78.4,8.1,0.3,Comercial
218.8,69.53,0.87,153.8,16.62,39.6,54.1,1.84,Residencial
430.87,87.95,0.22,106.3,26.92,44.5,29.3,6.55,Comercial
485.05,88.25,0.55,45.9,25.06,18.8,45.4,4.67,Residencial
448.41,86.66,0.3,138.7,18.93,28.4,25.3,6.76,Comercial
527.77,52.73,0.53,103.8,11.32,69.1,16.7,2.23,Comercial
534.74,113.35,0.93,111.9,34.37,85.5,11.8,6.9,Comercial
595.12,87.83,0.32,136.3,24.37,21.2,29.0,2.77,Industrial
529.42,96.99,0.31,168.1,39.18,37.0,76.9,3.29,Industrial
193.14,109.45,0.44,93.2,16.63,10.7,32.8,6.16,Comercial
324.08,77.79,0.81,45.5,23.62,37.6,65.7,5.35,Comercial
388.05,86.68,0.87,98.4,10.37,27.7,10.7,5.16,Industrial
677.49,79.42,0.22,47.6,15.46,27.9,51.1,6.91,Comercial
322.01,98.58,0.56,169.5,17.04,17.9,32.4,4.31,Comercial
375.81,75.24,0.61,168.8,19.3,76.4,34.9,6.56,Residencial
387.97,100.49,0.44,148.9,39.55,34.4,42.9,6.9,Comercial
518.3,72.87,0.92,43.2,24.84,68.9,13.0,2.97,Residencial
374.98,99.13,0.4,189.3,12.16,72.8,69.3,0.83,Residencial
458.79,75.58,0.65,195.2,31.23,89.4,37.8,1.49,Comercial
225.33,97.15,0.64,187.4,25.05,87.7,47.9,0.23,Comercial
432.71,93.81,0.67,76.8,20.55,42.3,7.6,1.58,Industrial
583.94,86.61,0.84,143.4,22.27,41.1,11.1,0.61,Comercial
499.37,89.29,0.42,68.0,24.46,51.8,6.1,6.05,Comercial
387.57,109.63,0.33,167.2,16.94,46.5,22.4,6.07,Industrial
540.22,76.35,0.61,22.1,29.09,89.5,46.5,4.84,Comercial
537.93,82.89,0.7,50.4,31.37,61.0,56.8,2.27,Industrial
476.78,71.41,0.24,134.9,21.99,71.3,60.6,2.43,Comercial
515.99,84.57,0.3,160.3,26.9,68.2,53.2,2.35,Industrial
566.93,88.49,0.77,61.9,22.06,49.9,6.5,6.55,Industrial
317.81,90.54,0.79,58.3,26.91,14.7,6.2,3.04,Industrial
334.6,108.79,0.91,55.0,17.42,40.0,7.5,2.48,Comercial
510.83,90.08,0.77,58.2,37.3,29.9,62.6,1.52,Residencial
659.36,36.86,0.67,79.1,17.41,85.5,49.1,5.83,Comercial
404.29,93.02,0.55,131.9,15.3,84.6,72.3,5.57,Comercial
274.99,108.25,0.76,102.1,17.13,12.4,73.8,2.08,Comercial
591.27,97.29,0.44,184.6,16.7,75.8,51.9,2.94,Industrial
374.96,103.72,0.79,28.8,35.53,55.9,61.0,6.25,Comercial
363.13,57.74,0.43,100.8,20.08,79.9,57.9,4.03,Residencial
86.69,65.93,0.61,120.0,18.29,37.3,50.6,1.05,Comercial
400.9,110.81,0.61,96.9,24.36,10.5,20.3,5.47,Industrial
503.41,79.59,0.58,157.8,23.63,84.5,44.3,2.97,Residencial
278.22,71.57,0.47,195.1,26.64,75.6,35.7,2.3,Residencial
543.18,65.21,0.64,83.3,37.41,36.2,64.8,1.85,Residencial
272.84,142.18,0.25,65.7,39.04,71.1,44.3,2.73,Comercial
330.31,77.16,0.76,197.1,32.81,55.3,20.7,0.52,Comercial
280.88,67.43,0.73,170.4,10.99,80.7,16.2,4.38,Industrial
288.75,99.28,0.37,151.7,10.85,38.7,44.4,1.52,Industrial
205.24,93.08,0.59,183.6,23.38,10.8,28.0,1.17,Comercial
364.93,92.15,0.33,108.2,37.04,38.5,52.9,4.42,Residencial
354.97,49.07,0.75,175.1,14.86,28.9,39.3,4.32,Comercial
369.65,68.75,0.67,79.2,36.87,10.7,63.1,1.51,Industrial
438.91,122.76,0.84,39.5,30.28,33.2,6.0,3.77,Industrial
176.7,97.37,0.59,154.2,31.24,44.0,57.2,3.14,Residencial
478.91,34.39,0.57,23.2,33.09,42.2,61.1,6.17,Comercial
492.47,63.18,0.54,76.9,30.93,63.2,77.6,2.27,Residencial
388.59,90.07,0.9,94.4,39.24,23.5,45.1,2.75,Comercial
491.72,86.43,0.33,143.2,19.03,24.0,62.8,1.45,Comercial
400.85,98.93,0.64,124.9,23.23,21.4,34.4,2.11,Comercial
665.06,82.87,0.71,54.4,29.85,54.7,37.1,0.66,Industrial
562.26,73.84,0.93,28.0,17.88,70.2,11.7,2.04,Comercial
526.31,66.14,0.63,169.2,19.27,20.2,20.4,5.03,Comercial
221.95,74.7,0.21,132.9,32.19,65.4,69.9,2.5,Comercial
414.27,110.43,0.24,113.3,26.39,67.2,35.9,5.83,Comercial
511.56,103.29,0.22,86.2,26.08,53.2,19.2,2.85,Comercial
547.15,92.52,0.42,198.0,18.18,19.1,21.9,5.93,Comercial
406.82,46.9,0.61,178.4,35.62,77.4,7.8,2.54,Comercial
695.87,87.03,0.92,186.1,33.83,79.2,21.7,3.21,Comercial
480.73,78.49,0.22,23.3,28.97,75.5,23.2,2.39,Residencial
330.95,75.27,0.81,169.2,37.07,69.0,66.4,2.93,Comercial
325.94,80.24,0.61,192.7,20.66,80.1,63.9,2.39,Comercial
492.82,88.59,0.54,108.3,38.61,33.1,11.7,2.29,Industrial
532.77,66.66,0.44,113.9,24.24,89.5,52.3,5.32,Industrial
498.97,80.97,0.41,71.5,19.29,63.7,37.9,5.54,Industrial
395.79,114.82,0.71,160.8,11.06,27.0,78.3,5.89,Comercial
573.63,77.97,0.57,40.3,14.88,71.9,16.2,6.64,Residencial
215.12,75.36,0.62,107.8,31.66,88.9,38.6,2.38,Comercial
337.3,76.28,0.58,129.1,39.22,35.8,74.0,0.35,Industrial
442.77,96.99,0.83,199.2,11.07,29.8,51.5,2.91,Industrial
539.66,68.4,0.52,55.4,23.23,48.8,16.1,5.21,Residencial
485.5,95.59,0.36,108.2,36.22,77.5,26.5,2.84,Comercial
273.12,78.91,0.9,80.2,29.09,82.8,71.2,3.01,Industrial
575.54,80.44,0.33,116.1,35.55,26.8,26.4,2.83,Industrial
633.81,98.81,0.93,127.7,23.31,48.5,21.7,6.59,Industrial
670.01,113.08,0.72,106.3,39.99,18.5,10.5,6.21,Comercial
468.73,84.76,0.3,135.3,33.47,19.3,54.0,6.92,Comercial
721.9,88.94,0.32,191.4,23.2,78.3,68.4,4.63,Residencial
511.36,58.8,0.81,153.3,37.11,10.7,28.1,5.71,Comercial
472.45,79.01,0.21,46.4,33.37,72.0,76.3,1.58,Industrial
430.54,103.71,0.63,184.0,35.41,19.9,27.5,6.93,Industrial
321.66,100.72,0.3,26.5,30.91,65.8,51.4,2.91,Residencial
380.72,81.66,0.38,138.6,22.22,57.9,51.7,1.16,Comercial
431.18,94.44,0.51,103.8,14.27,53.6,20.7,6.51,Industrial
368.27,109.52,0.71,24.2,23.27,52.1,45.1,5.66,Industrial
422.85,92.84,0.27,49.3,38.32,29.0,50.6,4.44,Comercial
113.55,101.2,0.36,131.3,35.2,50.5,41.2,4.71,Industrial
561.2,79.84,0.74,121.8,39.67,28.1,39.1,3.28,Residencial
179.73,105.04,0.43,25.4,14.64,54.1,44.4,6.91,Industrial
447.31,93.14,0.89,137.5,17.16,25.2,59.6,2.45,Industrial
436.95,83.85,0.54,64.9,32.64,10.6,50.5,0.78,Comercial
404.89,87.49,0.7,144.7,24.93,28.5,72.5,1.89,Residencial
333.97,113.01,0.88,112.4,38.09,80.5,72.6,6.3,Comercial
540.75,73.46,0.66,49.5,10.02,23.9,41.2,2.99,Industrial
498.41,103.57,0.9,26.9,22.1,56.9,55.2,5.88,Industrial
530.86,105.39,0.34,118.9,39.61,55.6,77.9,1.79,Industrial
327.1,79.44,0.39,82.3,12.29,16.9,26.7,1.35,Residencial
570.81,120.12,0.23,159.5,23.42,89.8,41.8,2.34,Industrial
273.01,113.25,0.76,137.3,27.33,80.7,59.3,2.63,Residencial
457.68,69.24,0.86,195.5,35.07,23.3,17.3,1.16,Industrial
259.25,74.32,0.27,61.6,26.08,78.0,63.9,6.52,Comercial
523.81,83.84,0.57,196.9,39.7,45.2,39.7,5.66,Industrial
287.63,79.4,0.24,81.6,37.4,51.9,57.1,5.21,Industrial
569.78,94.18,0.84,192.9,19.53,60.7,71.9,4.72,Comercial
173.84,94.68,0.71,53.4,26.56,18.0,74.0,1.54,Comercial
236.22,85.77,0.52,178.6,11.17,22.7,60.8,4.59,Industrial
386.1,114.04,0.43,196.7,19.02,60.7,33.1,5.07,Residencial
434.32,91.93,0.42,82.2,34.99,17.7,49.7,3.22,Comercial
609.89,118.06,0.21,22.9,32.03,59.1,44.6,0.62,Residencial
438.48,82.77,0.33,180.9,35.78,64.9,48.9,5.62,Comercial
506.17,104.88,0.76,112.5,36.25,29.6,78.1,4.45,Industrial
273.29,139.56,0.22,127.8,30.98,47.7,50.6,5.93,Comercial
369.01,72.1,0.43,199.9,18.66,86.6,17.6,4.56,Comercial
293.05,94.12,0.6,53.0,38.35,89.2,20.2,3.39,Industrial
388.53,95.98,0.74,158.7,16.51,60.7,34.5,0.84,Comercial
428.82,63.51,0.23,157.1,31.22,43.0,73.0,3.02,Industrial
318.4,90.04,0.83,112.4,11.19,12.6,29.1,2.12,Industrial
481.99,113.58,0.5,29.8,28.08,30.0,76.6,0.84,Industrial
510.38,69.6,0.72,98.1,29.89,78.0,38.2,6.23,Comercial
142.09,83.99,0.28,176.8,16.06,44.8,37.7,1.39,Industrial
234.81,98.01,0.63,144.8,11.98,24.5,63.8,5.33,Industrial
299.75,81.58,0.41,126.9,11.94,73.7,78.5,0.35,Industrial
332.38,62.72,0.35,33.1,26.2,13.5,47.9,3.68,Industrial
411.94,81.3,0.39,98.0,39.52,77.8,59.0,5.86,Comercial
430.5,66.84,0.3,24.7,22.05,16.7,55.1,2.08,Comercial
257.53,44.1,0.54,170.2,24.15,36.8,39.4,6.01,Industrial
368.35,75.51,0.59,168.7,23.98,38.8,61.1,4.74,Residencial
314.09,72.25,0.74,49.4,28.67,72.9,55.7,6.91,Residencial
567.24,56.63,0.58,140.0,35.22,52.8,59.4,2.97,Industrial
379.41,102.68,0.75,84.2,27.61,61.8,10.1,0.46,Industrial
314.15,88.15,0.32,177.4,30.58,64.6,31.1,4.07,Industrial
508.2,115.08,0.76,51.0,16.06,37.5,19.7,3.37,Industrial
327.55,96.89,0.48,40.4,28.37,37.6,31.6,4.73,Residencial
170.14,108.75,0.38,130.5,11.13,43.6,62.4,5.02,Industrial
358.71,90.77,0.56,133.3,10.91,56.4,22.4,2.65,Industrial
312.96,80.59,0.39,42.3,20.26,79.0,68.5,5.65,Comercial
241.31,65.84,0.54,168.6,36.75,32.1,14.0,3.17,Industrial
447.93,81.81,0.71,96.4,22.93,52.9,45.3,4.28,Industrial
436.08,83.46,0.72,31.9,10.43,78.6,12.9,0.23,Industrial
439.35,99.77,0.65,192.5,10.72,55.4,73.2,3.48,Residencial
733.47,94.63,0.68,167.0,32.58,88.3,66.9,3.41,Industrial
346.99,104.6,0.85,77.5,36.55,73.2,70.2,6.34,Industrial
78.81,90.29,0.74,20.1,26.23,79.4,55.6,5.03,Residencial
330.76,96.59,0.64,115.5,28.43,13.2,17.9,1.13,Industrial
340.21,83.07,0.59,33.8,37.1,18.3,56.5,4.18,Comercial
470.16,82.62,0.85,182.6,32.1,57.5,72.1,4.79,Industrial
543.36,73.45,0.37,158.5,23.85,56.4,48.5,1.94,Comercial
441.44,84.23,0.36,110.2,27.18,19.0,67.1,4.73,Comercial
128.45,103.32,0.72,128.2,11.08,43.3,77.4,4.98,Comercial
355.78,59.5,0.58,37.5,12.69,68.1,40.5,2.31,Industrial
376.34,117.4,0.26,169.2,21.6,56.3,62.7,2.01,Industrial
221.71,76.27,0.24,195.5,38.41,77.9,23.9,5.45,Industrial
519.34,67.57,0.49,53.3,10.03,68.0,47.7,0.89,Industrial
353.94,66.3,0.85,122.5,36.31,31.3,45.1,4.38,Industrial
283.93,80.34,0.84,119.0,26.05,75.0,30.5,6.17,Comercial
396.08,118.4,0.85,185.4,36.05,71.0,6.3,5.59,Industrial
274.99,98.44,0.29,47.9,22.37,27.4,17.2,6.93,Industrial
421.68,63.96,0.6,50.0,13.05,16.2,41.6,6.18,Comercial
519.62,68.23,0.55,145.8,26.97,45.0,50.4,6.89,Comercial
382.27,81.42,0.77,194.5,14.05,70.8,41.7,0.64,Industrial
262.57,89.03,0.56,100.9,25.65,40.6,35.8,3.03,Comercial
225.45,101.13,0.61,142.4,20.62,46.5,25.5,0.92,Comercial
444.32,132.59,0.42,133.7,32.79,78.7,41.5,1.84,Industrial
299.41,76.76,0.77,187.9,10.97,35.1,54.7,3.99,Comercial
371.3,96.72,0.38,169.8,30.29,45.1,57.0,5.28,Comercial
305.59,89.71,0.36,155.4,20.72,56.4,53.1,0.92,Residencial
352.44,108.69,0.37,120.3,22.94,18.3,6.9,5.0,Industrial
562.98,101.42,0.51,69.7,27.53,43.4,65.2,0.93,Comercial
313.8,74.72,0.85,87.1,14.23,65.7,72.7,6.34,Industrial
410.18,56.71,0.43,157.4,36.21,15.7,18.3,5.64,Comercial
268.29,102.16,0.73,119.5,10.48,32.2,26.2,3.54,Industrial
345.26,63.6,0.46,99.6,34.21,76.6,24.2,1.23,Industrial
361.59,84.38,0.52,144.6,19.07,11.4,42.3,1.9,Industrial
359.3,103.09,0.5,73.6,11.21,82.9,72.3,4.49,Industrial
392.26,65.34,0.22,77.5,12.36,10.1,60.7,5.0,Comercial
265.08,83.38,0.5,113.0,38.87,35.7,69.3,1.79,Residencial
373.88,77.63,0.79,98.9,39.13,44.0,42.9,0.91,Comercial
617.64,138.23,0.26,131.5,38.45,25.3,46.5,5.72,Industrial
294.77,86.57,0.63,103.3,14.79,20.5,5.1,2.7,Comercial
527.16,61.62,0.25,107.7,36.76,11.7,62.6,3.7,Comercial
715.53,82.44,0.33,185.1,24.07,34.8,47.9,1.54,Comercial
386.44,72.45,0.2,64.5,20.96,38.2,69.9,6.74,Industrial
609.81,124.25,0.54,62.5,30.12,36.2,61.9,4.66,Residencial
238.13,56.59,0.33,119.2,26.34,43.4,7.0,5.98,Comercial
593.57,60.84,0.36,51.7,14.25,12.5,43.7,1.52,Residencial
448.43,109.42,0.59,79.1,28.62,35.7,63.8,5.12,Comercial
591.44,88.79,0.89,27.2,11.15,24.4,5.7,5.33,Comercial
294.55,92.51,0.24,25.0,26.24,69.9,18.3,1.55,Comercial
442.2,115.01,0.84,97.5,17.33,71.6,54.9,4.01,Comercial
259.38,120.69,0.93,84.0,14.55,80.6,80.0,0.58,Comercial
373.56,106.91,0.87,59.6,39.35,65.5,42.5,4.15,Industrial
178.11,65.25,0.72,153.5,23.91,39.5,64.9,1.48,Residencial
408.39,78.18,0.48,183.8,24.85,32.8,62.3,2.53,Industrial
299.69,98.48,0.64,41.6,39.33,85.5,50.1,5.22,Comercial
321.57,118.52,0.84,30.9,22.06,83.0,34.0,1.39,Industrial
