solar_irradiance_wm2,wind_speed_ms,ambient_temp_c,humidity_pct,panel_temp_c,inverter_efficiency,load_demand_kw,grid_voltage_kv,battery_soc_pct,tariff_rate_usd_kwh,grid_stress_event
538.31,7.73,34.76,59.51,48.31,0.98,453.68,13.19,40.66,0.11,1
796.39,8.47,21.21,32.74,40.5,0.96,641.91,12.67,74.0,0.16,1
945.52,3.9,26.36,60.71,51.59,0.97,391.24,12.93,76.49,0.14,0
609.23,10.59,15.15,62.29,31.42,0.98,531.2,13.39,52.06,0.1,1
533.37,9.81,15.47,65.31,26.66,0.98,544.95,13.14,52.8,0.11,1
598.99,4.62,18.73,64.69,34.91,0.99,434.84,13.53,57.25,0.16,0
470.88,4.9,15.01,54.61,23.99,0.99,449.66,12.9,81.2,0.16,1
600.88,8.47,18.74,81.3,32.85,0.99,280.31,12.92,40.63,0.11,0
726.04,6.34,23.99,45.03,42.37,0.98,407.53,13.58,67.24,0.08,0
635.36,5.32,21.48,47.5,36.09,0.99,486.4,11.92,60.71,0.17,1
872.22,5.1,26.86,59.28,48.88,0.98,291.0,15.0,36.29,0.15,0
677.16,5.95,27.32,84.58,43.92,0.98,279.14,12.97,47.55,0.13,0
736.6,9.65,21.39,76.26,40.47,0.97,554.71,12.91,19.25,0.14,1
623.22,5.42,18.0,77.97,34.64,0.97,591.93,12.21,43.25,0.16,1
886.82,6.25,28.2,85.04,50.07,0.98,496.98,13.13,49.83,0.14,1
429.98,9.03,17.78,47.35,27.48,0.99,302.59,13.15,47.42,0.11,0
595.35,10.14,25.25,18.38,41.79,0.98,248.46,12.75,64.85,0.15,0
438.74,5.85,24.84,68.99,37.49,0.99,467.18,13.54,17.31,0.13,1
798.73,5.04,28.59,44.33,48.63,0.98,522.6,12.89,40.47,0.1,1
803.06,7.33,15.42,55.9,36.86,0.99,285.01,13.57,42.03,0.09,0
557.16,8.15,29.99,71.01,43.85,0.98,495.11,13.45,35.26,0.16,1
948.46,4.29,29.36,43.54,53.02,0.98,408.93,13.15,39.78,0.12,1
596.49,12.87,25.58,54.91,41.36,0.99,439.07,12.26,65.12,0.12,1
400.99,5.03,24.11,75.35,34.96,0.97,593.37,13.33,38.49,0.16,1
599.38,8.83,28.83,77.53,43.75,0.98,444.46,12.82,50.57,0.2,1
714.8,4.73,10.13,72.7,25.74,0.99,386.04,14.29,78.85,0.11,0
607.81,8.82,30.98,80.66,46.61,0.98,440.65,13.05,89.45,0.11,0
1057.79,11.5,21.99,52.41,48.93,0.95,647.33,13.45,81.54,0.12,1
803.97,5.51,26.38,57.06,47.62,0.97,515.18,13.04,91.96,0.11,1
961.63,2.24,14.42,74.56,37.05,0.99,403.77,12.87,52.43,0.2,1
899.46,7.98,21.16,74.2,44.01,0.98,345.51,12.53,73.27,0.08,1
346.56,6.72,25.5,75.4,34.11,0.99,318.52,12.68,63.84,0.14,0
582.0,2.46,13.46,76.18,28.45,0.99,454.34,13.06,87.45,0.12,0
158.87,10.84,31.99,91.92,37.07,0.99,439.41,13.4,65.65,0.1,0
533.65,5.4,29.24,70.06,44.07,0.98,453.56,13.33,28.78,0.12,1
850.72,3.53,32.09,44.15,54.42,0.97,433.74,13.88,34.05,0.12,0
498.22,11.11,27.91,65.84,39.82,0.98,419.3,12.9,69.8,0.14,1
535.4,7.15,26.41,52.61,39.66,0.99,249.34,13.38,12.05,0.14,0
708.7,7.83,21.68,48.29,39.52,0.99,379.49,13.03,44.01,0.14,1
791.72,7.79,25.28,78.16,45.5,0.98,523.07,13.64,38.01,0.19,1
585.86,11.86,24.36,87.09,40.48,0.98,357.76,13.22,71.55,0.14,0
603.95,7.01,33.31,67.33,49.84,0.98,454.45,13.36,71.54,0.14,0
795.62,3.8,17.9,66.74,39.72,0.99,379.66,12.94,20.18,0.15,1
695.73,0.0,23.99,54.14,41.46,0.97,569.89,13.55,69.38,0.16,1
598.65,5.2,23.84,53.69,36.66,0.99,267.04,13.68,51.45,0.17,0
706.61,10.51,24.58,34.64,41.72,0.98,382.33,13.52,77.46,0.12,0
663.7,4.87,20.09,71.9,35.11,0.98,536.19,12.69,64.86,0.13,1
695.83,5.03,27.25,53.54,44.99,0.97,566.13,12.49,88.02,0.14,1
1010.22,10.21,26.95,69.27,50.27,0.98,435.94,13.17,85.25,0.12,0
595.06,7.93,17.52,67.13,33.28,0.99,509.18,12.96,55.23,0.12,1
552.84,5.2,14.07,30.34,28.16,0.99,528.01,12.37,56.42,0.17,1
904.45,7.39,27.77,78.78,49.26,0.98,498.92,13.15,39.89,0.17,1
522.97,6.63,17.82,64.98,30.46,0.99,426.41,13.45,58.38,0.14,0
959.58,7.75,25.85,66.53,50.82,0.98,463.53,12.66,53.19,0.15,1
615.04,6.77,22.43,39.21,38.35,0.99,428.28,13.36,40.98,0.13,1
663.29,7.2,25.26,62.3,42.37,0.98,478.35,12.82,52.32,0.16,1
782.05,3.52,17.88,48.85,38.95,0.99,331.91,13.36,50.51,0.15,0
868.36,8.54,18.73,60.69,40.54,0.98,360.91,12.88,38.81,0.14,1
829.46,7.87,28.36,90.28,48.95,0.98,509.61,13.07,53.04,0.15,1
613.35,8.08,9.4,44.27,23.85,0.99,347.2,12.9,62.59,0.15,0
584.04,8.14,29.79,35.49,44.89,0.98,194.57,11.88,71.16,0.15,1
712.55,6.46,27.6,59.01,44.73,0.97,577.6,14.44,13.49,0.12,1
674.25,5.8,28.69,59.71,46.15,0.98,533.69,12.3,29.76,0.09,1
534.39,0.0,19.63,65.19,31.18,0.99,428.76,13.96,64.64,0.17,0
723.93,6.88,20.03,82.4,39.36,0.98,544.19,13.53,57.5,0.16,1
828.94,0.0,19.25,49.32,38.67,0.98,289.81,12.89,15.13,0.12,1
679.97,7.44,22.99,66.8,40.51,0.98,447.11,12.67,60.24,0.13,1
931.52,8.31,30.93,42.23,53.4,0.98,388.24,12.6,62.19,0.15,1
723.85,8.21,29.43,40.85,48.24,0.98,360.34,13.6,64.59,0.2,0
621.95,6.04,28.53,65.05,43.66,0.98,361.78,12.85,45.88,0.17,1
668.04,8.66,16.88,72.11,33.13,0.98,511.53,13.31,31.38,0.15,1
549.18,9.92,34.25,53.81,48.01,0.98,437.38,13.17,63.79,0.11,0
464.37,5.89,15.84,43.26,28.09,0.99,301.74,13.51,73.86,0.16,0
735.78,6.24,28.38,40.36,48.3,0.98,461.76,13.62,69.23,0.1,0
496.41,9.7,26.63,53.17,40.34,0.98,465.71,14.09,54.39,0.15,0
585.51,7.01,16.58,57.5,32.15,0.99,324.25,13.29,41.39,0.22,0
633.94,12.45,18.16,69.31,33.53,0.99,432.09,13.37,65.86,0.18,0
719.32,5.89,18.31,48.94,35.73,0.99,324.48,12.83,42.96,0.11,1
733.01,7.41,17.46,39.4,36.05,0.99,434.71,12.71,84.95,0.15,1
659.76,4.35,25.48,42.06,42.09,0.98,268.99,12.82,84.23,0.16,0
302.36,7.24,29.71,34.55,36.33,0.99,448.6,12.77,42.88,0.14,1
612.81,5.34,18.19,50.29,31.74,0.99,262.88,13.0,65.79,0.13,0
510.4,2.46,25.68,58.5,37.53,0.97,565.01,13.2,35.7,0.12,1
629.96,1.72,20.6,77.5,36.99,0.99,242.57,13.94,54.73,0.12,0
828.44,7.46,40.06,80.76,61.89,0.97,381.23,12.68,60.74,0.07,1
794.87,4.42,31.57,75.33,50.66,0.98,328.46,13.03,44.35,0.13,0
689.66,6.23,29.06,51.14,45.84,0.98,381.18,13.43,68.25,0.16,0
741.04,6.33,28.58,56.27,48.96,0.98,453.3,14.26,57.61,0.1,0
382.09,5.41,28.88,69.8,37.78,0.98,533.43,12.96,51.83,0.13,1
685.08,10.73,18.69,64.68,35.12,0.97,561.16,13.62,68.97,0.15,1
762.41,5.93,28.56,77.49,49.01,0.98,486.52,13.69,71.56,0.13,0
522.9,5.04,13.92,45.78,27.32,0.99,345.96,13.18,72.05,0.17,0
722.9,4.02,16.55,68.54,33.76,0.99,276.55,14.15,53.85,0.13,0
581.45,8.6,25.33,64.39,38.71,0.98,552.91,12.83,62.08,0.16,1
830.09,5.45,26.24,60.8,47.39,0.96,651.16,14.1,56.2,0.13,1
849.52,9.58,22.77,64.42,43.63,0.98,117.43,13.25,30.89,0.15,0
553.74,7.82,29.91,41.38,43.02,0.98,330.4,12.73,62.42,0.14,0
913.33,5.3,20.71,66.08,43.15,0.98,509.79,13.48,23.36,0.21,1
615.79,7.6,31.9,54.67,45.75,0.98,271.31,11.93,42.44,0.11,1
1021.15,7.87,26.41,55.92,52.85,0.98,406.38,14.12,62.93,0.13,0
561.52,4.43,26.16,56.05,40.8,0.98,258.08,12.44,47.35,0.09,1
661.48,7.12,19.66,90.04,38.18,0.98,509.4,11.12,56.73,0.16,1
688.37,7.4,16.56,67.46,33.49,0.99,385.76,13.37,77.69,0.16,0
514.86,6.72,28.64,67.27,41.8,0.96,638.21,12.41,59.29,0.14,1
339.43,8.05,21.34,86.89,28.49,0.99,423.28,13.81,52.59,0.13,0
506.07,6.17,11.01,77.94,23.33,0.99,423.05,12.09,50.18,0.17,1
844.33,10.49,26.33,77.76,47.95,0.98,472.38,12.5,74.17,0.1,1
590.84,12.9,21.4,46.53,35.28,0.99,469.9,13.78,84.92,0.23,0
591.19,5.52,23.74,58.56,37.83,0.99,278.99,13.21,60.24,0.15,0
923.02,1.76,23.1,58.83,46.25,0.98,299.71,14.11,30.69,0.15,0
738.84,7.5,12.01,74.29,30.1,0.99,403.32,13.6,57.97,0.11,0
776.42,7.68,24.22,82.77,43.45,0.98,422.76,13.38,52.32,0.11,0
802.9,6.94,29.57,70.18,50.15,0.98,170.5,13.87,15.79,0.13,0
486.66,3.41,20.92,72.62,34.22,0.99,477.57,12.51,58.7,0.13,1
672.45,7.48,30.17,75.54,47.52,0.98,496.45,12.19,62.38,0.13,1
677.04,8.69,24.09,67.69,42.2,0.99,419.2,13.19,63.36,0.11,0
621.4,4.49,25.48,41.31,39.11,0.99,435.37,13.35,50.45,0.13,0
453.25,11.15,26.32,70.79,39.06,0.98,358.56,13.09,68.43,0.11,0
733.48,4.48,21.47,49.98,38.58,0.99,377.61,13.03,45.74,0.15,1
351.48,8.52,37.37,49.8,45.54,0.98,269.39,13.2,50.72,0.15,0
481.33,6.22,27.16,72.1,38.9,0.98,352.36,14.66,37.35,0.13,0
504.32,2.94,21.07,47.37,34.01,0.99,364.63,13.99,37.38,0.12,0
575.82,6.58,27.93,70.2,40.65,0.98,532.55,13.01,31.73,0.17,1
801.4,6.29,26.02,54.98,47.21,0.98,372.45,12.07,60.81,0.09,1
948.2,13.23,24.58,59.69,48.74,0.98,384.38,12.73,73.63,0.15,1
960.01,9.32,24.46,55.77,47.89,0.97,546.22,13.67,39.38,0.14,1
795.13,11.38,27.98,67.24,48.59,0.98,346.69,12.99,86.2,0.18,0
729.14,10.37,16.37,56.44,34.51,0.99,341.03,12.6,71.4,0.17,0
229.42,6.73,19.78,56.3,25.55,0.99,448.98,12.36,37.95,0.11,1
853.42,5.07,16.47,66.2,38.61,0.98,532.37,13.02,81.44,0.14,1
1100.0,11.15,16.31,57.57,43.82,0.97,521.7,13.16,61.71,0.1,1
731.52,3.86,9.4,34.86,27.4,0.99,372.11,13.89,17.86,0.12,0
692.13,6.72,22.53,51.45,40.21,0.98,331.04,13.85,70.34,0.14,0
775.77,5.14,21.31,46.2,40.85,0.99,317.51,13.29,46.44,0.17,0
781.15,8.39,17.51,68.02,37.7,0.98,401.67,13.96,30.17,0.15,0
674.28,11.61,21.85,65.97,39.33,0.98,451.9,11.64,55.74,0.16,1
582.71,6.1,33.43,69.38,45.35,0.95,700.71,13.43,24.09,0.18,1
715.12,4.03,28.97,68.99,44.7,0.98,413.98,13.13,66.46,0.17,0
403.08,9.24,10.71,76.21,20.81,0.99,397.22,12.84,53.23,0.13,1
311.16,2.67,22.34,62.18,31.03,0.99,324.15,14.36,67.12,0.1,0
894.97,7.49,30.96,70.58,53.77,0.97,529.15,13.2,39.76,0.11,1
567.55,5.1,24.28,63.93,38.85,0.99,323.91,12.11,75.54,0.12,1
778.87,7.91,25.48,58.38,44.13,0.98,514.46,12.74,54.98,0.1,1
929.83,7.74,25.24,29.54,48.65,0.98,310.13,13.79,44.8,0.14,0
869.65,4.12,18.06,61.92,38.21,0.99,366.0,13.28,51.03,0.16,0
550.39,11.33,27.77,66.6,42.12,0.98,515.3,13.7,55.81,0.15,0
708.46,10.12,29.97,58.42,46.28,0.98,452.92,12.23,68.76,0.16,1
440.1,4.38,21.04,56.5,32.01,0.99,462.8,12.57,53.43,0.12,1
631.18,3.8,25.44,62.91,42.72,0.98,277.79,13.17,47.91,0.13,0
838.28,5.62,20.53,38.39,42.18,0.98,391.73,13.06,54.92,0.14,0
655.76,3.34,26.59,67.69,43.0,0.98,495.89,14.18,61.74,0.19,0
136.75,3.95,32.88,66.23,37.06,0.98,394.75,13.44,60.71,0.11,0
244.77,9.25,31.13,98.67,38.12,0.99,359.98,13.42,72.32,0.11,0
505.71,6.7,14.07,46.74,26.09,0.99,483.84,13.23,27.31,0.12,1
889.98,8.5,19.66,42.24,40.62,0.98,401.19,12.69,38.01,0.16,1
685.84,11.99,21.0,100.0,39.2,0.97,577.72,11.88,52.85,0.11,1
675.43,6.33,28.69,95.18,45.71,0.98,496.7,12.72,74.43,0.18,1
413.13,5.27,23.69,63.16,33.71,0.99,307.62,13.3,49.84,0.15,0
676.36,6.53,24.2,55.71,40.82,0.98,425.68,12.26,51.3,0.16,1
240.47,9.2,17.45,35.4,22.04,0.97,582.58,13.71,73.64,0.14,1
711.53,7.2,32.49,54.48,49.31,0.97,277.68,13.71,97.64,0.12,0
862.26,1.97,26.73,64.1,49.04,0.98,364.77,13.66,78.88,0.12,0
502.83,4.92,13.65,68.57,25.63,0.99,425.92,12.91,5.17,0.18,1
845.19,2.94,31.77,87.35,51.8,0.97,327.15,12.5,16.88,0.07,1
520.42,3.95,18.02,62.52,30.68,0.99,312.94,13.97,66.44,0.11,0
676.53,2.76,26.3,78.57,43.38,0.98,357.23,13.05,71.08,0.15,0
625.53,7.88,20.11,51.6,35.48,0.99,274.78,13.87,0.19,0.16,0
666.9,8.65,21.99,82.93,36.6,0.97,601.05,13.93,34.15,0.15,1
924.85,6.2,33.39,44.77,55.72,0.97,380.76,12.94,67.99,0.11,0
808.62,3.94,23.14,70.38,44.98,0.98,346.34,13.11,79.85,0.13,0
528.01,6.88,23.28,52.95,36.24,0.99,523.62,13.91,45.14,0.12,0
152.31,6.62,23.83,66.28,27.12,0.99,468.06,13.01,59.43,0.12,1
811.06,4.2,25.81,70.93,47.74,0.98,437.75,13.39,44.89,0.17,1
787.5,4.47,30.98,64.0,51.96,0.98,373.28,12.83,54.82,0.21,1
679.79,6.27,29.81,29.72,45.96,0.98,228.49,12.65,64.9,0.14,0
549.53,5.89,26.72,78.85,41.22,0.98,324.18,13.51,34.82,0.17,0
937.71,5.04,30.98,73.46,53.8,0.97,477.65,13.07,50.8,0.21,1
328.3,6.54,24.95,69.58,34.38,0.99,316.64,12.22,61.01,0.14,1
508.81,6.77,29.33,55.03,42.89,0.98,392.07,14.08,37.58,0.14,0
386.06,8.15,29.29,44.17,39.32,0.99,360.86,13.11,54.41,0.12,0
716.84,9.43,26.55,55.67,43.83,0.98,300.04,12.46,75.07,0.16,0
566.02,5.67,25.78,36.41,40.92,0.99,358.72,13.12,88.32,0.22,0
1030.01,7.61,28.71,44.38,53.82,0.98,498.98,12.78,63.56,0.17,1
653.21,8.31,23.65,74.03,41.04,0.99,370.9,13.05,49.12,0.15,0
607.01,2.26,34.9,11.34,51.8,0.97,527.69,13.78,44.68,0.14,1
753.09,6.56,26.36,68.46,44.24,0.96,586.89,14.15,24.19,0.15,1
518.2,5.75,29.24,42.54,43.8,0.98,293.69,13.31,60.81,0.18,0
454.9,7.21,16.22,70.31,26.5,0.99,405.83,12.84,91.59,0.13,0
746.3,11.56,28.65,54.13,47.42,0.98,495.95,12.98,64.9,0.11,1
561.98,5.89,27.74,63.33,41.49,0.99,362.96,13.28,76.86,0.15,0
825.68,8.48,27.49,39.99,46.08,0.98,488.61,13.33,50.67,0.18,1
710.26,9.02,35.55,57.1,52.72,0.98,432.69,13.03,58.39,0.14,1
670.96,7.95,26.8,76.9,42.83,0.98,303.74,13.78,44.53,0.12,0
662.32,7.97,27.83,63.96,46.57,0.98,442.41,12.97,100.0,0.13,0
634.46,3.72,26.76,45.92,43.74,0.98,510.74,13.54,45.51,0.14,1
723.36,6.25,29.7,72.8,47.16,0.98,380.19,13.38,85.41,0.13,0
578.5,6.64,18.78,46.55,33.03,0.99,266.77,15.0,42.41,0.18,0
297.61,6.15,15.58,77.74,22.3,0.99,495.35,13.39,41.97,0.17,1
664.0,4.79,25.16,55.3,42.63,0.98,521.39,13.15,16.47,0.16,1
567.09,8.18,31.45,65.21,46.3,0.98,356.2,13.31,38.32,0.14,0
402.15,6.47,17.39,47.59,26.39,0.99,367.69,13.66,53.46,0.16,0
790.52,3.16,26.56,73.96,47.18,0.98,476.41,13.43,69.96,0.09,0
581.56,5.02,24.02,78.58,37.46,0.99,462.78,13.25,73.62,0.16,0
335.86,2.93,13.46,62.57,22.29,0.97,602.54,12.71,26.73,0.09,1
636.54,2.88,25.6,59.07,40.58,0.99,343.79,13.19,71.78,0.16,0
528.54,8.27,19.97,25.19,33.44,0.99,345.41,13.32,46.97,0.14,0
343.72,7.69,15.1,89.65,23.26,0.99,491.5,13.27,56.25,0.15,1
706.19,10.6,35.45,54.69,53.67,0.97,524.06,13.22,54.14,0.16,1
460.9,3.43,22.71,58.92,37.09,0.99,439.54,13.13,57.08,0.12,1
779.31,7.84,30.4,100.0,50.23,0.97,404.62,13.21,58.09,0.14,0
488.45,7.79,20.27,63.29,33.35,0.98,531.51,13.32,0.0,0.1,1
825.87,7.95,30.82,38.16,50.25,0.98,466.82,12.14,80.28,0.15,1
726.58,8.26,23.62,58.46,41.89,0.98,478.73,12.41,43.57,0.17,1
669.55,7.93,26.35,72.46,43.47,0.98,362.87,13.45,26.35,0.13,1
513.95,6.67,28.3,50.19,40.08,0.99,440.76,13.13,69.71,0.11,0
812.87,4.64,21.93,51.13,42.47,0.97,554.68,13.62,50.8,0.08,1
740.64,9.06,18.3,39.45,33.71,0.99,524.05,13.25,25.39,0.17,1
584.77,0.27,26.21,30.35,40.49,0.98,356.76,13.13,45.16,0.14,0
754.51,4.03,19.93,55.72,36.9,0.98,334.33,12.99,55.01,0.13,0
465.4,6.76,21.41,33.99,32.63,0.99,244.57,12.63,68.55,0.18,0
419.64,3.93,27.56,94.29,39.49,0.98,395.87,12.83,51.74,0.14,1
632.8,7.17,24.84,39.15,41.6,0.98,511.48,13.82,27.18,0.17,1
662.8,4.16,20.79,53.88,36.43,0.98,233.59,12.96,79.84,0.14,0
727.02,10.01,19.45,63.52,37.14,0.99,357.94,13.57,26.71,0.13,0
661.71,5.13,23.94,64.19,39.1,0.99,303.31,14.03,27.34,0.19,1
873.33,4.49,41.09,47.1,65.39,0.97,463.32,14.59,81.47,0.17,0
417.71,5.54,16.7,64.03,27.57,0.99,294.12,11.94,95.32,0.17,1
752.3,7.46,22.85,71.48,40.3,0.99,408.52,14.45,82.39,0.15,0
690.62,4.85,21.94,43.08,36.62,0.98,315.55,13.06,49.49,0.06,0
894.12,3.44,25.12,83.22,47.23,0.97,568.18,12.65,67.58,0.12,1
672.48,5.49,26.63,58.15,44.25,0.98,415.64,13.71,53.89,0.17,0
706.93,3.59,22.84,41.92,40.86,0.99,272.08,13.25,79.5,0.17,0
967.03,5.82,22.22,42.23,44.95,0.98,372.85,12.69,100.0,0.16,0
793.33,5.89,32.15,40.6,51.25,0.98,499.27,13.83,35.86,0.16,0
759.54,4.69,22.99,82.04,41.65,0.97,569.59,13.53,44.86,0.16,1
579.78,8.03,26.17,79.47,41.57,0.97,585.54,13.54,67.3,0.13,1
675.01,9.0,11.94,68.35,29.12,0.99,393.39,14.26,60.45,0.18,0
352.57,1.86,16.0,48.72,24.46,0.99,463.32,13.84,38.62,0.19,0
498.13,11.03,25.4,94.57,39.42,0.98,563.77,13.52,43.91,0.13,1
766.46,6.66,19.44,43.76,36.56,0.99,437.49,13.02,61.91,0.15,1
329.75,7.15,23.04,48.58,31.98,0.97,599.66,13.64,60.44,0.15,1
666.72,3.03,29.2,69.25,44.24,0.95,634.21,13.19,34.45,0.16,1
653.21,1.27,27.99,83.07,43.02,0.98,398.69,14.18,73.35,0.17,0
720.04,11.04,24.31,26.15,40.48,0.98,501.75,12.04,30.32,0.12,1
344.67,7.09,13.0,66.84,22.41,0.99,367.53,12.24,42.32,0.11,1
284.45,9.52,30.24,47.92,35.57,0.98,556.03,13.29,50.71,0.16,1
849.72,8.11,24.11,41.2,42.07,0.98,510.15,13.16,53.19,0.16,1
669.93,3.62,23.97,65.92,41.22,0.98,386.04,13.1,24.12,0.16,1
